name,address,phone,rating,review_count,timing,url,images,source_category
Narayana E-Techno School,"Akola Bypass Road Hingoli Washim Akola Road, Hingoli",09606113559,4.9,19,,https://www.justdial.com/Hingoli/Narayana-E-Techno-School-Near-Sukda-Lawn-Hingoli-Washim-Akola-Road/9999P2456-2456-231122172422-J5P2_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/p2/9999p2456.2456.231122172422.j5p2/catalogue/narayana-e-techno-school-hingoli-washim-akola-road-hingoli-schools-q0jg1ynvra-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/p2/9999p2456.2456.231122172422.j5p2/catalogue/narayana-e-techno-school-hingoli-washim-akola-road-hingoli-schools-p7l5tvhh5x-250.jpg?w=640&q=75,Schools
Ujwal Play School,"Adarsh College Road Hingoli HO, Hingoli",Show Number,4.6,36,,https://www.justdial.com/Hingoli/Ujwal-Play-School-Near-Hanuman-Temple-Hingoli-Ho/9999P2456-2456-180412185053-E5K5_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/k5/9999p2456.2456.180412185053.e5k5/catalogue/ujwal-play-school-hingoli-ho-hingoli-pre-schools-xw3q1wdb3q-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/k5/9999p2456.2456.180412185053.e5k5/catalogue/ujwal-play-school-hingoli-ho-hingoli-cbse-schools-w9stbt2equ-250.jpg?w=640&q=75,Schools
Lal Bahadur Shastri Vidhyalaya,"Nanded Parbhani Highway Basmath, Basmath",08867753849,4.5,8,,,https://content.jdmagicbox.com/v2/comp/hingoli/x8/9999p2456.2456.250505142914.m4x8/catalogue/lal-bahadur-shastri-vidhyalaya-basmath-basmath-schools-748h6eu68f-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/x8/9999p2456.2456.250505142914.m4x8/catalogue/lal-bahadur-shastri-vidhyalaya-basmath-basmath-schools-meyyq1qwht-250.jpg?w=640&q=75,Schools
Khaki Baba Memorial English High School,"Hingoli Akola Road Hingoli HO, Hingoli",Show Number,3.9,26,,https://www.justdial.com/Hingoli/Khaki-Baba-Memorial-English-High-School-Ramlila-Maidan-Hingoli-Ho/9999P2456-2456-140329214710-D5J7_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/j7/9999p2456.2456.140329214710.d5j7/catalogue/khaki-baba-memorial-english-high-school-hingoli-ho-hingoli-convent-schools-IMdtOZrgDC-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/j7/9999p2456.2456.140329214710.d5j7/catalogue/khaki-baba-memorial-english-high-school-hingoli-ho-hingoli-schools-119i5lbvw2-250.jpg?w=640&q=75,Schools
Mount Litera Zee School,"Narsi, Hingoli",Show Number,5.0,6,,https://www.justdial.com/Hingoli/Mount-Litera-Zee-School-Near-Jai-Sai-Petrol-Pump-Sasewadhi-Narshi-Fatha-Narsi/9999P2456-2456-230917140104-L9Z9_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/z9/9999p2456.2456.230917140104.l9z9/catalogue/mount-litera-zee-school-hingoli-pre-schools-g66a79iosl-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/z9/9999p2456.2456.230917140104.l9z9/catalogue/mount-litera-zee-school-narsi-hingoli-pre-schools-ikzqxhsqdb-250.jpg?w=640&q=75,Schools
Dnyansadhana Pratisthan Educational Institution,"Akashvani Parisar Siddharth Nagar, Hingoli",Show Number,3.8,103,,https://www.justdial.com/Hingoli/Dnyansadhana-Pratisthan-Educational-Institution-Near-Jintur-Road-Parbhani-Siddharth-Nagar/9999P2456-2456-220825183846-B6X3_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/x3/9999p2456.2456.220825183846.b6x3/catalogue/dnyansadhana-pratisthan-educational-institution-hingoli-city-hingoli-schools-x1rxopp2i0-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/x3/9999p2456.2456.220825183846.b6x3/catalogue/dnyansadhana-pratisthan-educational-institution-hingoli-city-hingoli-colleges-3e6g6xzg1e-250.jpg?w=640&q=75,Schools
Podar International School,"Jawala Palshi Road Siddharth Nagar, Hingoli",Show Number,4.6,165,,https://www.justdial.com/Hingoli/Podar-International-School-Opposite-Ramakrishna-Market-Siddharth-Nagar/9999P2456-2456-221222121714-K5Q7_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/q7/9999p2456.2456.221222121714.k5q7/catalogue/podar-international-school-siddharth-nagar-hingoli-cbse-schools-6m6nkwg5hf-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/q7/9999p2456.2456.221222121714.k5q7/catalogue/podar-international-school-siddharth-nagar-hingoli-cbse-schools-vfecjaxitk-250.jpg?w=640&q=75,Schools
Jawahar Navodaya Vidyalaya,"Basmat Parbhani Road Siddharth Nagar, Hingoli",Show Number,4.3,93,,https://www.justdial.com/Hingoli/Jawahar-Navodaya-Vidyalaya-Opposite-Government-Iti-Siddharth-Nagar/9999P2456-2456-130331121041-C5D6_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/hingoli/d6/9999p2456.2456.130331121041.c5d6/catalogue/jawahar-navodaya-vidyalaya-basmathnagar-hingoli-schools-61udse-250.jpg?w=640&q=75,Schools
Secred Heart Highschool,"Bhatt Colony, Hingoli",Show Number,3.9,78,,https://www.justdial.com/Hingoli/Secred-Heart-Highschool-Bhatt-Colony/9999P2456-2456-140329214954-B7P4_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/p4/9999p2456.2456.140329214954.b7p4/catalogue/secred-heart-highschool-hingoli-ho-hingoli-schools-64F7yF3MlD-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/p4/9999p2456.2456.140329214954.b7p4/catalogue/secred-heart-highschool-hingoli-ho-hingoli-schools-8vjraXkB5e-250.jpg?w=640&q=75,Schools
Global Public School Hingoli 2,"National Highway Pimpalkhuta New Bypass Siddharth Nagar, Hingoli",,4.9,58,,https://www.justdial.com/Hingoli/Global-Public-School-Hingoli-2-Siddharth-Nagar/9999P2456-2456-230827154841-V8E5_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/e5/9999p2456.2456.230827154841.v8e5/catalogue/global-public-school-hingoli-2-hingoli-schools-rvw33b3r1p-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/e5/9999p2456.2456.230827154841.v8e5/catalogue/global-public-school-hingoli-2-hingoli-schools-ja63uh1mg6-250.jpg?w=640&q=75,Schools
Lbs English School,"Ganga Nagar, Hingoli",Show Number,4.8,44,,https://www.justdial.com/Hingoli/Lbs-English-School-Ganga-Nagar/9999P2456-2456-200207002825-E3H3_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/h3/9999p2456.2456.200207002825.e3h3/catalogue/lbs-english-school-hingoli-schools-sqj1nclpwf-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/h3/9999p2456.2456.200207002825.e3h3/catalogue/lbs-english-school-ganga-nagar-hingoli-schools-0h9b637wps-250.jpg?w=640&q=75,Schools
Annapurna International School Of Scholors,"Akola Road Hingoli Washim Akola Road, Hingoli",Show Number,4.2,47,,https://www.justdial.com/Hingoli/Annapurna-International-School-Of-Scholors-Near-Dental-College-Hingoli-Washim-Akola-Road/9999P2456-2456-190409233223-U2Q1_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/remote/q1/9999p2456.2456.190409233223.u2q1/catalogue/annapurna-international-school-of-scholors-ramakrishna-nagar-hingoli-schools-ce4l9vebs6-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/q1/9999p2456.2456.190409233223.u2q1/catalogue/annapurna-international-school-of-scholors-ramakrishna-nagar-hingoli-cbse-schools-m4ihnl0ut7-250.jpg?w=640&q=75,Schools
Bahirji Smarak Mahavidyalay,"Jawala Khandarban Road Jahagiri, Basmath",,4.3,43,,,https://content.jdmagicbox.com/v2/comp/basmath/r1/9999p2456.2456.230624185922.l2r1/catalogue/bahirji-smarak-mahavidyalay-jahagiri-basmath-schools-gy8ahznscj-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/basmath/r1/9999p2456.2456.230624185922.l2r1/catalogue/bahirji-smarak-mahavidyalay-jahagiri-basmath-schools-7e2kmq338j-250.jpg?w=640&q=75,Schools
